ID;Nom de la tâche;Catégorie;Temps de réalisation (IA);Priorité
FOND-01;Initialiser le monorepo (pnpm workspaces, tsconfig de base, structure des packages);Fondations (Lot 0);30 min;P0
FOND-02;Configurer l'intégration continue (lint, typecheck, tests);Fondations (Lot 0);45 min;P0
FOND-03;Créer le projet Supabase et connecter les variables d'environnement;Fondations (Lot 0);20 min;P0
FOND-04;Migration : table tenant;Fondations (Lot 0);15 min;P0
FOND-05;Migration : table tenant_member + politique d'isolation;Fondations (Lot 0);20 min;P0
FOND-06;Migration : table plan (Start/Growth/Scale + quotas en données, drapeau commercialisable);Fondations (Lot 0);20 min;P0
FOND-07;Migration : table subscription;Fondations (Lot 0);15 min;P0
FOND-08;Migration : table usage_counter;Fondations (Lot 0);15 min;P0
FOND-09;Migration : table employee_definition (versionnée);Fondations (Lot 0);20 min;P0
FOND-10;Migration : table identity (réservoir);Fondations (Lot 0);15 min;P0
FOND-38;Migration : table sector_profile (versionnée, globale, rédigée par Sentio);Fondations (Lot 0);20 min;P0
FOND-11;Migration : table employee;Fondations (Lot 0);15 min;P0
FOND-12;Migration : table employee_capability;Fondations (Lot 0);15 min;P0
FOND-13;Migration : table company_profile + traçabilité (auteur/date/tâche source/statut);Fondations (Lot 0);20 min;P0
FOND-14;Migration : table learned_fact + traçabilité;Fondations (Lot 0);20 min;P0
FOND-15;Migration : table objective;Fondations (Lot 0);15 min;P0
FOND-16;Migration : table task;Fondations (Lot 0);15 min;P0
FOND-17;Migration : table job (file d'exécution, priorité, tentatives, verrou);Fondations (Lot 0);25 min;P0
FOND-18;Migration : table execution_event (journal append-only);Fondations (Lot 0);20 min;P0
FOND-19;Migration : table approval;Fondations (Lot 0);15 min;P0
FOND-20;Migration : table outcome;Fondations (Lot 0);15 min;P0
FOND-21;Migration : table notification;Fondations (Lot 0);15 min;P0
FOND-22;Migration : table strategy_change;Fondations (Lot 0);15 min;P0
FOND-23;Migration : table capability;Fondations (Lot 0);15 min;P0
FOND-24;Migration : table capability_binding;Fondations (Lot 0);15 min;P0
FOND-25;Migration : table provider_credential;Fondations (Lot 0);15 min;P0
FOND-26;Migration : table provider_quota;Fondations (Lot 0);15 min;P0
FOND-27;Migration : table diagnostic_session;Fondations (Lot 0);15 min;P0
FOND-28;Migration : table recommendation;Fondations (Lot 0);15 min;P0
FOND-29;Migration : table standing_approval (confirmer une fois, révocable);Fondations (Lot 0);15 min;P0
FOND-30;Activer et vérifier les politiques d'isolation par entreprise sur toutes les tables;Fondations (Lot 0);45 min;P0
FOND-31;Écrire le repository générique dans packages/db;Fondations (Lot 0);45 min;P0
FOND-32;Écrire les repositories spécifiques par table dans packages/db;Fondations (Lot 0);1h30;P0
FOND-33;Seed initial : les trois formules (Start/Growth/Scale) en données;Fondations (Lot 0);20 min;P0
FOND-34;Seed initial : réservoir d'identités du métier Commercial (300+ entrées);Fondations (Lot 0);45 min;P1
FOND-35;Écrire packages/config (quotas, seuils, drapeaux de fonctionnalité, lexique);Fondations (Lot 0);45 min;P0
FOND-36;Écrire les types partagés dans packages/domain (aucune entrée/sortie);Fondations (Lot 0);1h;P0
FOND-37;Champ et politique de rétention du journal (12 mois puis anonymisation);Fondations (Lot 0);30 min;P1
NOYAU-01;Model Gateway : interface ModelProvider générique;Noyau (Lot 1);30 min;P0
NOYAU-02;Model Gateway : implémentation du fournisseur principal (payant, sans entraînement);Noyau (Lot 1);1h;P0
NOYAU-03;Model Gateway : implémentation du fournisseur de secours/démo (tier gratuit);Noyau (Lot 1);45 min;P1
NOYAU-04;Model Gateway : routage par classe de données (saut du fournisseur non conforme);Noyau (Lot 1);1h;P0
NOYAU-05;Model Gateway : chaîne de repli sur quota/panne passagère uniquement;Noyau (Lot 1);1h;P0
NOYAU-06;Model Gateway : comptage par entreprise et par fournisseur;Noyau (Lot 1);45 min;P0
NOYAU-07;Model Gateway : plafonds durs par entreprise et par jour, report de tâche au dépassement;Noyau (Lot 1);45 min;P0
NOYAU-08;Model Gateway : trois enveloppes séparées (clients/vitrine/interne);Noyau (Lot 1);1h;P0
NOYAU-09;Policy Engine : classification des actions par classe d'effet;Noyau (Lot 1);45 min;P0
NOYAU-10;Policy Engine : les quatre niveaux d'autonomie (auto/notifier/confirmer/confirmer une fois);Noyau (Lot 1);1h;P0
NOYAU-11;Policy Engine : règle "irréversible jamais auto par défaut";Noyau (Lot 1);30 min;P0
NOYAU-12;Policy Engine : gestion de standing_approval (confirmer une fois, révocation);Noyau (Lot 1);1h;P0
NOYAU-13;Assemblage de contexte : injection de la couche 1 ADN (position non négociable);Noyau (Lot 1);30 min;P0
NOYAU-14;Assemblage de contexte : injection de la couche 2 profil entreprise + faits appris triés/bornés;Noyau (Lot 1);1h;P0
NOYAU-15;Assemblage de contexte : injection de la couche 3 contexte de tâche éphémère;Noyau (Lot 1);30 min;P0
NOYAU-16;Assemblage de contexte : filtre anti-contradiction (fait appris vs limite ADN);Noyau (Lot 1);45 min;P0
NOYAU-17;Registre de capacités : contrat Capability (interface stable);Noyau (Lot 1);30 min;P0
NOYAU-18;Registre de capacités : résolution capability_binding → moteur, par formule;Noyau (Lot 1);45 min;P0
NOYAU-19;Journal d'exécution : fonction d'écriture append-only;Noyau (Lot 1);30 min;P0
NOYAU-20;Journal d'exécution : reconstruction de trace depuis execution_event;Noyau (Lot 1);45 min;P0
NOYAU-21;Clé d'idempotence : génération et vérification sur toute action à effet extérieur;Noyau (Lot 1);45 min;P0
NOYAU-22;Format ConversationTurn structuré (text/tool_call/tool_result) pour les échanges multi-tours;Noyau (Lot 1);45 min;P0
METIER-01;Rédiger l'ADN v1 du métier Commercial, commun à tous les secteurs (rôle, limites, règles, comportement, sécurité);Métier Commercial (Lot 2);1h30;P0
METIER-02;Écrire employee_definition v1 Commercial en base;Métier Commercial (Lot 2);30 min;P0
METIER-23;Rédiger le premier profil sectoriel (vocabulaire, interlocuteurs, cycle, objections, angles);Métier Commercial (Lot 2);2h;P0
METIER-24;Écrire les profils sectoriels en base et prévoir leur versionnage;Métier Commercial (Lot 2);30 min;P0
METIER-03;Migration : table lead (CRM interne minimal, isolé par entreprise);Métier Commercial (Lot 2);20 min;P0
METIER-04;Capacité "trouver des prospects" : contrat;Métier Commercial (Lot 2);20 min;P0
METIER-05;Capacité "trouver des prospects" : moteur v1 (donnée fournie par le client);Métier Commercial (Lot 2);1h;P0
METIER-06;Capacité "qualifier un prospect" : contrat;Métier Commercial (Lot 2);20 min;P0
METIER-07;Capacité "qualifier un prospect" : moteur;Métier Commercial (Lot 2);45 min;P0
METIER-08;Capacité "envoyer un message de prospection" : contrat;Métier Commercial (Lot 2);20 min;P0
METIER-09;Capacité "envoyer un message de prospection" : moteur (service d'envoi);Métier Commercial (Lot 2);1h30;P0
METIER-10;Garde-fou : mention d'opposition obligatoire dans chaque message envoyé;Métier Commercial (Lot 2);30 min;P0
METIER-11;Garde-fou : respect immédiat des désinscriptions;Métier Commercial (Lot 2);45 min;P0
METIER-12;Capacité "relancer un prospect" : contrat + moteur;Métier Commercial (Lot 2);45 min;P1
METIER-13;Capacité "mettre à jour une fiche CRM" : contrat + moteur;Métier Commercial (Lot 2);1h;P0
METIER-14;Réflexion post-run spécifique au Commercial (0 à 3 faits par run);Métier Commercial (Lot 2);45 min;P1
METIER-15;Variantes de stratégie du Commercial (angles d'accroche, moments de relance);Métier Commercial (Lot 2);1h;P1
METIER-16;Migration : table suppression_entry (exclusions par entreprise - clients, concurrents, comptes sensibles);Métier Commercial (Lot 2);30 min;P0
METIER-17;Garde-fou : vérification des exclusions avant tout envoi (bloquant, pas consultatif);Métier Commercial (Lot 2);45 min;P0
METIER-18;Vérification de l'authentification du domaine d'envoi (SPF, DKIM, DMARC) à l'onboarding;Métier Commercial (Lot 2);1h;P0
